sector_id,sector_name,impact_pct,severity,fuel_cost_share,pass_through_elasticity,hedge_discount,base_margin_pct,margin_impact_pct
S-FER,Fertilizers,41.7,critical,0.8,0.7,0.05,18.4,33.37
S-SHP,Shipping,34.9,high,0.55,0.9,0.1,15.2,19.21
S-PET,Petrochemicals,25.5,high,0.45,0.85,0.15,12.8,11.47
S-AVN,Aviation,15.6,medium,0.3,0.95,0.3,8.5,4.69
S-MIN,Mining,11.8,medium,0.25,0.75,0.2,35.4,2.94
S-POW,Power Generation,8.2,low,0.35,0.4,0.25,28.9,2.88
S-AGR,Agriculture,6.9,low,0.15,0.65,0.1,25.6,1.03
S-CON,Construction,4.6,low,0.12,0.55,0.12,16.8,0.55
S-MAN,Manufacturing,3.0,low,0.08,0.6,0.2,22.1,0.24
S-RET,Retail Logistics,1.7,low,0.05,0.5,0.15,6.3,0.08
