country_code,country_name,vulnerability_score,normalized_score,vulnerability_tier,oil_imports_mbpd,total_dependency_pct,oil_gdp_share_pct,strategic_reserves_days,economic_flexibility_score,currency_stability_score,raw_score
CHN,China,0.14,10.0,low,10.8,0.2,2.1,45,0.75,0.7,0.13
IND,India,0.11,7.9,low,4.7,0.3,2.8,39,0.6,0.6,0.09
JPN,Japan,0.04,2.9,low,3.2,0.2,3.2,194,0.65,0.8,0.05
KOR,South Korea,0.04,2.9,low,2.8,0.2,3.5,96,0.7,0.75,0.04
ITA,Italy,0.04,2.9,low,1.4,0.7,1.6,75,0.65,0.6,0.03
ESP,Spain,0.04,2.9,low,1.3,0.7,1.8,120,0.68,0.65,0.04
DEU,Germany,0.03,2.1,low,2.1,0.6,1.4,90,0.85,0.9,0.04
ZAF,South Africa,0.02,1.4,low,0.5,0.5,2.8,38,0.55,0.4,0.01
THA,Thailand,0.02,1.4,low,1.2,0.1,4.2,28,0.45,0.55,0.02
NLD,Netherlands,0.01,0.7,low,0.8,0.4,1.0,65,0.92,0.9,0.01
GBR,United Kingdom,0.01,0.7,low,0.9,0.2,1.2,68,0.88,0.85,0.01
FRA,France,0.01,0.7,low,1.5,0.3,1.1,85,0.82,0.88,0.01
BEL,Belgium,0.01,0.7,low,0.7,0.5,1.2,55,0.8,0.88,0.01
CHL,Chile,0.01,0.7,low,0.4,0.3,2.2,42,0.75,0.8,0.01
COL,Colombia,0.0,0.0,low,0.0,0.1,4.5,18,0.55,0.45,0.0
PER,Peru,0.0,0.0,low,0.1,0.2,1.9,25,0.5,0.5,0.0
USA,United States,0.0,0.0,low,1.8,0.1,0.8,180,0.9,0.95,0.0
EGY,Egypt,0.0,0.0,low,0.0,0.8,8.5,45,0.4,0.3,0.0
DZA,Algeria,0.0,0.0,low,0.0,0.2,15.8,30,0.35,0.25,0.0
ARG,Argentina,0.0,0.0,low,0.0,0.1,2.8,22,0.45,0.25,0.0
VEN,Venezuela,0.0,0.0,low,0.0,0.1,25.2,15,0.2,0.1,0.0
IDN,Indonesia,0.0,0.0,low,0.3,0.1,1.8,20,0.55,0.6,0.0
MEX,Mexico,0.0,0.0,low,0.0,0.2,3.1,28,0.6,0.55,0.0
CAN,Canada,0.0,0.0,low,0.0,0.1,2.2,35,0.88,0.92,0.0
BRA,Brazil,0.0,0.0,low,0.0,0.1,1.8,45,0.7,0.5,0.0
NZL,New Zealand,0.0,0.0,low,0.1,0.1,1.5,35,0.8,0.85,0.0
AUS,Australia,0.0,0.0,low,0.5,0.1,1.1,45,0.85,0.9,0.0
MYS,Malaysia,0.0,0.0,low,0.4,0.1,2.5,25,0.65,0.7,0.0
SGP,Singapore,0.0,0.0,low,0.9,0.1,3.8,35,0.75,0.85,0.0
NGA,Nigeria,0.0,0.0,low,0.0,0.2,12.4,15,0.3,0.2,0.0
