sector_id,sector_name,impact_pct,severity,fuel_cost_share,pass_through_elasticity,hedge_discount,base_margin_pct,margin_impact_pct
S-FER,Fertilizers,117.3,critical,0.8,0.7,0.05,18.4,93.84
S-SHP,Shipping,98.2,critical,0.55,0.9,0.1,15.2,54.03
S-PET,Petrochemicals,71.7,critical,0.45,0.85,0.15,12.8,32.26
S-AVN,Aviation,44.0,critical,0.3,0.95,0.3,8.5,13.2
S-MIN,Mining,33.1,high,0.25,0.75,0.2,35.4,8.27
S-POW,Power Generation,23.2,high,0.35,0.4,0.25,28.9,8.1
S-AGR,Agriculture,19.3,medium,0.15,0.65,0.1,25.6,2.9
S-CON,Construction,12.8,medium,0.12,0.55,0.12,16.8,1.54
S-MAN,Manufacturing,8.5,low,0.08,0.6,0.2,22.1,0.68
S-RET,Retail Logistics,4.7,low,0.05,0.5,0.15,6.3,0.23
